url,name,price,value
https://eda.yandex.ru/retail/lenta/product/ccf39545-2552-4cac-9b02-90ef658464bc?placeSlug=giper_gwhxm,Молоко пастеризованное Домик в деревне 2.5% 930мл,72RUB,930мл
https://eda.yandex.ru/retail/lenta/product/ff4f4b1f-23a2-48b1-a51e-2b1cb00f1db8?placeSlug=giper_gwhxm,Молоко пастеризованное Простоквашино 25%,78RUB,930мл
https://eda.yandex.ru/retail/lenta/product/77d9143a-9e48-4b6d-9673-518c50a36fcb?placeSlug=giper_gwhxm,Молоко стерилизованное Домик в деревне 3.2% 950г,94RUB,950мл
https://eda.yandex.ru/retail/lenta/product/2831e5f7-9ac0-47a2-85e9-0138cd74f9db?placeSlug=giper_gwhxm,Молоко пастеризованное Домик в деревне 3.7% 14л,125RUB,1.4л
https://eda.yandex.ru/retail/lenta/product/0a2887cf-f3c2-4f4e-a8a4-d63494a2099c?placeSlug=giper_gwhxm,Молоко пастеризованное Домик в деревне 2.5%,112RUB,1.4л
https://eda.yandex.ru/retail/lenta/product/025dc66e-ee0e-4470-a08c-dd48a5299a7a?placeSlug=giper_gwhxm,Молоко пастеризованное Домик в деревне 3.4-4.5% 930мл,89RUB,930мл
https://eda.yandex.ru/retail/lenta/product/e8567aa5-f414-47db-bff3-bd10538f9ced?placeSlug=giper_gwhxm,Молоко пастеризованное Простоквашино отборное нормализованное от 3.4% до 4.5%,85RUB,930мл
https://eda.yandex.ru/retail/lenta/product/90050415-81b0-43b9-8e17-eb6e5a9238cb?placeSlug=giper_gwhxm,Молоко ультрапастеризованное Домик в деревне 25%,94RUB,950мл
https://eda.yandex.ru/retail/lenta/product/1a5625a3-d3a4-4e69-aec1-a56bbe9d5fbe?placeSlug=giper_gwhxm,Молоко Село Зелёное ультрапастеризованное 3.2%,84RUB,950мл
https://eda.yandex.ru/retail/lenta/product/c368a27b-3ae6-450c-baa8-11b37467d753?placeSlug=giper_gwhxm,Молоко ультрапастеризованное Эконива 32%,94RUB,1л
https://eda.yandex.ru/retail/lenta/product/17e57fec-1194-469c-a4a8-8742577825ce?placeSlug=giper_gwhxm,Молоко Aroy-D Кокосовое,136RUB,250мл
https://eda.yandex.ru/retail/lenta/product/7e370a82-ad33-48a7-9467-0ba03ac955da?placeSlug=giper_gwhxm,Напиток Овсяный Немолоко Шоколадный,110RUB,1л
https://eda.yandex.ru/retail/lenta/product/b1329fd6-c887-4b51-8622-b8d5d7ec0a88?placeSlug=giper_gwhxm,Напиток кокосовый Planto Barista с соей,217RUB,1л
https://eda.yandex.ru/retail/lenta/product/3db61a5e-1ce9-45a3-a37a-f044b443111b?placeSlug=giper_gwhxm,Молоко стерилизованное Домик в деревне 1.5% 950г,91RUB,924мл
https://eda.yandex.ru/retail/lenta/product/dbbaf054-d40e-443d-94de-f4b7de92c143?placeSlug=giper_gwhxm,Молоко стерилизованное Домик в деревне 0.5% 950г,94RUB,950мл
https://eda.yandex.ru/retail/lenta/product/77b6b7b8-c4b0-49ec-bff8-119ebe202604?placeSlug=giper_gwhxm,Молоко Parmalat Comfort Безлактозное 1.8%,160RUB,1л
https://eda.yandex.ru/retail/lenta/product/2490cb0d-42b8-4de8-b492-3c1c02c1dd70?placeSlug=giper_gwhxm,Десерт творожный Даниссимо Браво 67% Шоколад,58RUB,130г
https://eda.yandex.ru/retail/lenta/product/817b2cb0-26d1-4e03-a05d-93801cf5cbda?placeSlug=giper_gwhxm,Йогурт Epica Персик-маракуйя 48%,68RUB,130г
