url,name,price,value
https://eda.yandex.ru/retail/lenta/product/38a0e352-edd4-4fe4-9e05-80351b863f64?placeSlug=giper_gwhxm,Яйцо куриное Сибагро СО 10 шт.,114RUB,700г
https://eda.yandex.ru/retail/lenta/product/0b01e71d-e0af-490d-ae82-5ca0be3da5fd?placeSlug=giper_gwhxm,Яйца куриные Яркое Утро Grand СВ 10 шт.,177RUB,700г
https://eda.yandex.ru/retail/lenta/product/9d3c9934-a092-493d-b102-7036ad1c17e0?placeSlug=giper_gwhxm,Яйцо перепелиное ЭКО-Птицефабрика 20 шт.,170RUB,240г
https://eda.yandex.ru/retail/lenta/product/65272e50-15e7-4cf5-ab6b-6adbb61ac8f0?placeSlug=giper_gwhxm,Пирожное бисквитное Kinder Молочный ломтик,62RUB,28г
https://eda.yandex.ru/retail/lenta/product/bed0a4b6-869b-45fd-ac6a-8799f3d88c46?placeSlug=giper_gwhxm,Сырок творожный А. Ростагрокомплекс в молочном шоколаде с вареной сгущенкой 26%,91RUB,50г
https://eda.yandex.ru/retail/lenta/product/ace4ec65-2d24-4ed0-9bf2-cd153f5377d2?placeSlug=giper_gwhxm,Сырок глазированный Чудо Кокос 287%,40RUB,40г
https://eda.yandex.ru/retail/lenta/product/ffb2eca1-3c5d-4f93-93ae-49a665e5660b?placeSlug=giper_gwhxm,Пирожное бисквитное Kinder Pingui Молоко и шоколад,66RUB,30г
https://eda.yandex.ru/retail/lenta/product/90a41bed-c880-4d67-8b0e-8a98932b455e?placeSlug=giper_gwhxm,Пирожное Kinder Молочный ломтик 5 шт.,260RUB,140г
https://eda.yandex.ru/retail/lenta/product/9b9f86f9-f3b6-4ae5-b063-72b688ec1dbc?placeSlug=giper_gwhxm,Сырок глазированный А.Ростагрокомплекс Картошка 20%,91RUB,50г
https://eda.yandex.ru/retail/lenta/product/efbba644-0a9e-4e4e-ac36-dba78554cd77?placeSlug=giper_gwhxm,Сырок глазированный Простоквашино с кондитерским кремом 23%,51RUB,40г
https://eda.yandex.ru/retail/lenta/product/2cd53bec-cbf4-4580-b310-27b6331cd054?placeSlug=giper_gwhxm,Сырок глазированный А.РОСТАГРОКОМПЛЕКС с ванилью в молочном шоколаде 26%,91RUB,50г
https://eda.yandex.ru/retail/lenta/product/6a787717-9ef5-457b-acb3-48fc35785f79?placeSlug=giper_gwhxm,Сырок творожный глазированный Свитлогорье с какао 26%,74RUB,50г
https://eda.yandex.ru/retail/lenta/product/70bf5752-d5ba-4b3f-aca9-0fc60690be6d?placeSlug=giper_gwhxm,Сырок творожный глазированный Свитлогорье с варёным сгущённым молоком 26%,76RUB,45г
https://eda.yandex.ru/retail/lenta/product/e1ba9baf-7965-4f2d-887e-1e7c9c6627f7?placeSlug=giper_gwhxm,Творог Простоквашино 5% ГОСТ,82RUB,200г
