url,name,cost,value,value_type,category_chain,image_id,composition,brand,calories,proteins,fats,carb
https://eda.yandex.ru/retail/lenta/product/ccf39545-2552-4cac-9b02-90ef658464bc?placeSlug=lenta_quwrh,Молоко пастеризованное Домик в деревне 2.5% 930мл,69.0,930.0,ml,"['Молоко и яйца', 'Молоко', 'Пастеризованное']",1ce0a061-d891-5d03-8334-20c6b96659a1,Молоко нормализованное,Домик в деревне,53.0,3.0,2.5,4.7
https://eda.yandex.ru/retail/lenta/product/ff4f4b1f-23a2-48b1-a51e-2b1cb00f1db8?placeSlug=lenta_quwrh,Молоко пастеризованное Простоквашино 25%,74.0,930.0,ml,"['Молоко и яйца', 'Молоко', 'Пастеризованное']",7d94a6cf-504d-507a-899e-49fd1ec23d2f,нормализованное молоко,Простоквашино,53.0,3.0,2.5,4.7
https://eda.yandex.ru/retail/lenta/product/2831e5f7-9ac0-47a2-85e9-0138cd74f9db?placeSlug=lenta_quwrh,Молоко пастеризованное Домик в деревне 3.7% 14л,138.0,1.0,,"['Молоко и яйца', 'Молоко', 'Пастеризованное']",3e581771-7ea3-5588-9b03-93f5c0623f8a,молоко цельное,Домик в деревне,71.0,2.9,4.5,4.7
https://eda.yandex.ru/retail/lenta/product/0a2887cf-f3c2-4f4e-a8a4-d63494a2099c?placeSlug=lenta_quwrh,Молоко пастеризованное Домик в деревне 2.5%,119.0,1.0,,"['Молоко и яйца', 'Молоко', 'Пастеризованное']",6aefae59-e109-5cb2-aaef-5c2489c3699c,Молоко нормализованное,Домик в деревне,53.0,3.0,2.5,4.7
https://eda.yandex.ru/retail/lenta/product/025dc66e-ee0e-4470-a08c-dd48a5299a7a?placeSlug=lenta_quwrh,Молоко пастеризованное Домик в деревне 3.4-4.5% 930мл,95.0,930.0,ml,"['Молоко и яйца', 'Молоко', 'Пастеризованное']",067e81ad-3ee0-513e-be99-4a3f274ddba4,Молоко цельное,Домик в деревне,71.0,2.9,4.5,4.7
